registration_plate,vin,brand,model,color,vehicle_type,fuel_type,transmission_type,status,manufacturing_year,acquisition_date,purchase_price,current_value,initial_mileage,current_mileage,engine_displacement_cc,power_hp,seats,notes
AB-123-CD,1HGCM82633A123456,Toyota,Corolla,Blanc,Berline,Essence,Manuelle,Parking,2020,15/01/2020,25000,20000,5000,15000,1600,120,5,Véhicule en excellent état
EF-456-GH,2HGCM82633A789012,Peugeot,308,Noir,Berline,Diesel,Automatique,En mission,2019,20/06/2019,30000,22000,10000,45000,1600,130,5,Maintenance régulière effectuée
IJ-789-KL,3HGCM82633A345678,Renault,Clio,Rouge,Berline,Essence,Manuelle,Parking,2021,10/03/2021,18000,16000,0,8500,1200,75,5,Véhicule neuf avec garantie
019037-324-16,,Iveco+U5C5:T6C5:T5C5:C5:U6,Cargo,blanc,camion,Essence,Manuelle,Parking,2024,10/08/2024,,,1500,,,220,3,camion conteneur
019053-324-16,,Renault,Master,gris,van,Diesel,Manuelle,Parking,2024,12/03/2024,,,2075,,,190,3,Fourgon de livraison
017796-324-16,,Iveco+U5C5:T6C5:T5C5:C5:U7,Cargo,blanc,camion,Essence,Manuelle,Parking,2024,13/10/2023,,,2650,,,160,3,camion conteneur
018283-324-16,,Renault,Master,gris,van,Diesel,Manuelle,Parking,2024,15/05/2023,,,3225,,,130,3,Fourgon de livraison
017784-324-16,,Iveco+U5C5:T6C5:T5C5:C5:U8,Cargo,blanc,camion,Essence,Manuelle,Parking,2024,15/12/2022,,,3800,,,100,3,camion conteneur
017588-324-16,,Renault,Master,gris,van,Diesel,Manuelle,Parking,2024,17/07/2022,,,4375,,,70,3,Fourgon de livraison
017582-324-16,,Iveco+U5C5:T6C5:T5C5:C5:U9,Cargo,blanc,camion,Essence,Manuelle,Parking,2024,16/02/2022,,,4950,,,40,3,camion conteneur
017789-324-16,,Renault,Master,gris,van,Diesel,Manuelle,Parking,2024,18/09/2021,,,5525,,,10,3,Fourgon de livraison
019051-324-16,,Iveco+U5C5:T6C5:T5C5:C5:U10,Cargo,blanc,camion,Essence,Manuelle,Parking,2024,20/04/2021,,,6100,,,-20,3,camion conteneur
019826-324-16,,Renault,Master,gris,van,Diesel,Manuelle,Parking,2024,20/11/2020,,,6675,,,-50,3,Fourgon de livraison
019043-324-16,,Iveco+U5C5:T6C5:T5C5:C5:U11,Cargo,blanc,camion,Essence,Manuelle,Parking,2024,22/06/2020,,,7250,,,-80,3,camion conteneur
019901-324-16,,Renault,Master,gris,van,Diesel,Manuelle,Parking,2024,23/01/2020,,,7825,,,-110,3,Fourgon de livraison
018281-324-16,,Iveco+U5C5:T6C5:T5C5:C5:U12,Cargo,blanc,camion,Essence,Manuelle,Parking,2024,25/08/2019,,,8400,,,-140,3,camion conteneur
018287-324-16,,Renault,Master,gris,van,Diesel,Manuelle,Parking,2024,27/03/2019,,,8975,,,-170,3,Fourgon de livraison
017774-324-16,,Iveco+U5C5:T6C5:T5C5:C5:U13,Cargo,blanc,camion,Essence,Manuelle,Parking,2024,27/10/2018,,,9550,,,-200,3,camion conteneur
019059-324-16,,Renault,Master,gris,van,Diesel,Manuelle,Parking,2024,29/05/2018,,,10125,,,-230,3,Fourgon de livraison
017590-324-16,,Iveco+U5C5:T6C5:T5C5:C5:U14,Cargo,blanc,camion,Essence,Manuelle,Parking,2024,29/12/2017,,,10700,,,-260,3,camion conteneur
018279-324-16,,Renault,Master,gris,van,Diesel,Manuelle,Parking,2024,31/07/2017,,,11275,,,-290,3,Fourgon de livraison
019045-324-16,,Iveco+U5C5:T6C5:T5C5:C5:U15,Cargo,blanc,camion,Essence,Manuelle,Parking,2024,02/03/2017,,,11850,,,-320,3,camion conteneur
017768-324-16,,Renault,Master,gris,van,Diesel,Manuelle,Parking,2024,02/10/2016,,,12425,,,-350,3,Fourgon de livraison
018678-324-16,,Iveco+U5C5:T6C5:T5C5:C5:U16,Cargo,blanc,camion,Essence,Manuelle,Parking,2024,04/05/2016,,,13000,,,-380,3,camion conteneur
017793-324-16,,Renault,Master,gris,van,Diesel,Manuelle,Parking,2024,05/12/2015,,,13575,,,-410,3,Fourgon de livraison
019057-324-16,,Iveco+U5C5:T6C5:T5C5:C5:U17,Cargo,blanc,camion,Essence,Manuelle,Parking,2024,07/07/2015,,,14150,,,-440,3,camion conteneur
017778-324-16,,Renault,Master,gris,van,Diesel,Manuelle,Parking,2024,06/02/2015,,,14725,,,-470,3,Fourgon de livraison
017770-324-16,,Iveco+U5C5:T6C5:T5C5:C5:U18,Cargo,blanc,camion,Essence,Manuelle,Parking,2024,08/09/2014,,,15300,,,-500,3,camion conteneur
